working_id,source_candidate_ids,source_name_variants,name_en_normalized,name_ko_draft,name_ko_status,vendor_body_tags,catalog_status,catalog_reason,equipment,equipment_confidence,body_part_ko,body_confidence,primary_muscles_ko,secondary_muscles_ko,muscle_confidence,recording_type,recording_confidence,source_recording_candidates,semantic_flags,source_media_count,male_source_count,female_source_count,qa_status
gvs_1ba775c4ea74cd6a,gvc_ba6829b0d2e7,Band Alternate Low Chest Fly,Resistance Band Alternate Low Chest Fly,밴드 얼터네이트 로우 체스트 플라이,AUTO_PHRASE_DRAFT,Chest,MVP_CANDIDATE,Resistance/strength candidate,Resistance Band,source,가슴,source,대흉근,삼두근 / 전면 삼각근,name_high,reps,apparatus_dynamic_policy,,,2,1,1,AUTO_DRAFT_COMPLETE
gvs_53cd98f6563ac3f0,gvc_d3b719f0999c,Band Alternating Biceps Curl,Resistance Band Alternating Biceps Curl,밴드 얼터네이팅 바이셉 컬,AUTO_PHRASE_DRAFT,Upper-Arms,MVP_CANDIDATE,Resistance/strength candidate,Resistance Band,source,팔,source,이두근,,name_high,reps,apparatus_dynamic_policy,,,1,1,0,AUTO_DRAFT_COMPLETE
gvs_8fa6822ab14b7b4c,gvc_5896dc36fc98,Band Assisted Chin Up (from Knee),Resistance Band Assisted Chin Up (From Knee),,MANUAL,Back,MVP_CANDIDATE,Resistance/strength candidate,Resistance Band,source,등,source,광배근,이두근 / 승모근,name_high,reps,apparatus_dynamic_policy,,,1,1,0,MANUAL_QA_REQUIRED
gvs_97ae3a0901b31e09,gvc_207b0af2687b,Band Assisted Dip,Resistance Band Assisted Dip,밴드 어시스트 딥스,AUTO_PHRASE_DRAFT,Back,MVP_CANDIDATE,Resistance/strength candidate,Resistance Band,source,등,source,,,unsupported,reps,apparatus_dynamic_policy,,,1,1,0,AUTO_DRAFT_COMPLETE
gvs_f220d79461d5a11a,gvc_808b04a5c40c,Resistance Band Assisted Neutral Grip Chin Up (mal,Resistance Band Assisted Neutral Grip Chin Up,밴드 어시스트 뉴트럴 그립 친업,AUTO_PHRASE_DRAFT,,MVP_CANDIDATE,Resistance/strength candidate,Resistance Band,source,등,name,광배근,이두근 / 승모근,name_high,reps,apparatus_dynamic_policy,,,1,1,0,AUTO_DRAFT_COMPLETE
gvs_4935c85a16011b84,gvc_1c12605753cb,Resistance Band Assisted Nordic Hamstring Curl,Resistance Band Assisted Nordic Hamstring Curl,,MANUAL,Thighs,MVP_CANDIDATE,Resistance/strength candidate,Resistance Band,source,하체,source,햄스트링,,name_high,reps,apparatus_dynamic_policy,,,1,1,0,MANUAL_QA_REQUIRED
gvs_ee87d1f7638ff317,gvc_5d5c6756797e,Band Assisted Pull Up (version 3),Resistance Band Assisted Pull Up,밴드 어시스트 풀업,AUTO_PHRASE_DRAFT,Back,MVP_CANDIDATE,Resistance/strength candidate,Resistance Band,source,등,source,광배근,이두근 / 승모근,name_high,reps,apparatus_dynamic_policy,,,2,1,1,AUTO_DRAFT_COMPLETE
gvs_1552f5129b7f9b3c,gvc_1d3744737cf7,Resistance Band Assisted Push Up,Resistance Band Assisted Push Up,밴드 어시스트 푸시업,AUTO_PHRASE_DRAFT,Chest,MVP_CANDIDATE,Resistance/strength candidate,Resistance Band,source,가슴,source,,,unsupported,reps,apparatus_dynamic_policy,reps,,1,1,0,AUTO_DRAFT_COMPLETE
gvs_9298433dad7e4ce9,gvc_999786e61acc,Band Behind Neck Shoulder Press,Resistance Band Behind Neck Shoulder Press,,MANUAL,Shoulders,MVP_CANDIDATE,Resistance/strength candidate,Resistance Band,source,어깨,source,삼각근,삼두근,name_high,reps,apparatus_dynamic_policy,,,1,1,0,MANUAL_QA_REQUIRED
gvs_281af0469608bde4,gvc_63fb5755c994,Band Bench Press,Resistance Band Bench Press,밴드 벤치프레스,AUTO_PHRASE_DRAFT,Chest,MVP_CANDIDATE,Resistance/strength candidate,Resistance Band,source,가슴,source,대흉근,삼두근 / 전면 삼각근,name_high,reps,apparatus_dynamic_policy,,,1,1,0,AUTO_DRAFT_COMPLETE
gvs_9265bd52f9f9f960,gvc_12edf0deb97c,Resistance Band Bent Leg Kickback (kneeling) (fema,Resistance Band Bent Leg Kickback (Kneeling),,MANUAL,,MVP_CANDIDATE,Resistance/strength candidate,Resistance Band,source,하체,name,,,unsupported,reps,apparatus_dynamic_policy,,,1,0,1,MANUAL_QA_REQUIRED
gvs_cf0fab5d7c28bddd,gvc_88f715ddc102,Resistance Band Bent Leg Side Kick (kneeling) (fem,Resistance Band Bent Leg Side Kick (Kneeling),,MANUAL,,MVP_CANDIDATE,Resistance/strength candidate,Resistance Band,source,하체,name,,,unsupported,reps,apparatus_dynamic_policy,,,1,0,1,MANUAL_QA_REQUIRED
gvs_9eb56879746c2bed,gvc_17099dac05f8,Band Bent Over Hip Extension,Resistance Band Bent Over Hip Extension,,MANUAL,Hips,MVP_CANDIDATE,Resistance/strength candidate,Resistance Band,source,하체,source,,,unsupported,reps,apparatus_dynamic_policy,,,2,1,1,MANUAL_QA_REQUIRED
gvs_956037a8e5ad4b0a,gvc_688a940e28f7,Band Bent Over Lat Pulldown,Resistance Band Bent Over Lat Pulldown,밴드 벤트오버 랫 풀다운,AUTO_PHRASE_DRAFT,Back,MVP_CANDIDATE,Resistance/strength candidate,Resistance Band,source,등,source,광배근,이두근 / 승모근,name_high,reps,apparatus_dynamic_policy,,,2,1,1,AUTO_DRAFT_COMPLETE
gvs_fece0f0bf652c84b,gvc_a73e7c853405,Band Bent Over Rear Deltoid Kickback,Resistance Band Bent Over Rear Deltoid Kickback,,MANUAL,Shoulders,MVP_CANDIDATE,Resistance/strength candidate,Resistance Band,source,어깨,source,,,unsupported,reps,apparatus_dynamic_policy,,,1,1,0,MANUAL_QA_REQUIRED
gvs_d89bb8a698021aec,gvc_2f8487bf4b7d,Band Bent Over Rear Lateral Raise,Resistance Band Bent Over Rear Lateral Raise,밴드 벤트오버 리어 레터럴 레이즈,AUTO_PHRASE_DRAFT,Shoulders,MVP_CANDIDATE,Resistance/strength candidate,Resistance Band,source,어깨,source,후면 삼각근,,name_high,reps,apparatus_dynamic_policy,,,2,1,1,AUTO_DRAFT_COMPLETE
gvs_e07f075a4306fcd4,gvc_417adb50c290,Band Bent Over Rear Lateral Raise (version,Resistance Band Bent Over Rear Lateral Raise,밴드 벤트오버 리어 레터럴 레이즈,AUTO_PHRASE_DRAFT,,MVP_CANDIDATE,Resistance/strength candidate,Resistance Band,source,어깨,name,후면 삼각근,,name_high,reps,apparatus_dynamic_policy,,,1,1,0,AUTO_DRAFT_COMPLETE
gvs_b170e06427197d96,gvc_533d4f765cc7,Resistance Band Bent Over Reverse Fly,Resistance Band Bent Over Reverse Fly,밴드 벤트오버 리버스 플라이,AUTO_PHRASE_DRAFT,Shoulders,MVP_CANDIDATE,Resistance/strength candidate,Resistance Band,source,어깨,source,후면 삼각근,,name_high,reps,apparatus_dynamic_policy,,,1,0,1,AUTO_DRAFT_COMPLETE
gvs_f8c4a9760be40734,gvc_d27a3059ce16,Band Bent Over Row,Resistance Band Bent Over Row,밴드 벤트오버 로우,AUTO_PHRASE_DRAFT,Back,MVP_CANDIDATE,Resistance/strength candidate,Resistance Band,source,등,source,등 상부 / 광배근,이두근,name_high,reps,apparatus_dynamic_policy,,,2,1,1,AUTO_DRAFT_COMPLETE
gvs_d972503a3f29cff0,gvc_1fc257ea45d5,Resistance Band Bent Over Row (version 2),Resistance Band Bent Over Row,밴드 벤트오버 로우,AUTO_PHRASE_DRAFT,,MVP_CANDIDATE,Resistance/strength candidate,Resistance Band,source,등,name,등 상부 / 광배근,이두근,name_high,reps,apparatus_dynamic_policy,,,1,0,1,AUTO_DRAFT_COMPLETE
