working_id,source_candidate_ids,source_name_variants,name_en_normalized,name_ko_draft,name_ko_status,vendor_body_tags,catalog_status,catalog_reason,equipment,equipment_confidence,body_part_ko,body_confidence,primary_muscles_ko,secondary_muscles_ko,muscle_confidence,recording_type,recording_confidence,source_recording_candidates,semantic_flags,source_media_count,male_source_count,female_source_count,qa_status
gvs_be735560904852ae,gvc_7de817414cea,3 4 Sit Up,3 4 Sit Up,3 4 싯업,AUTO_PHRASE_DRAFT,Waist,MVP_CANDIDATE,Resistance/strength candidate,Bodyweight,inferred_bodyweight,코어,source,복직근,,name_high,reps,bodyweight,reps,,2,1,1,AUTO_DRAFT_COMPLETE
gvs_c4786ad77ebcde4f,gvc_4dde96d32f7a,3 Sec Sumo Squat,3 Sec Sumo Squat,,MANUAL,Hips,MVP_CANDIDATE,Resistance/strength candidate,Bodyweight,inferred_bodyweight,하체,source,대퇴사두근,둔근,name_high,reps,bodyweight,,,1,0,1,MANUAL_QA_REQUIRED
gvs_3277f4f593ac5d31,gvc_bf46882b061f,45 Degree Bycicle Twisting Crunch,45 Degree Bycicle Twisting Crunch,,MANUAL,Waist,MVP_CANDIDATE,Resistance/strength candidate,Bodyweight,inferred_bodyweight,코어,source,복직근,,name_high,reps,bodyweight,reps,,2,1,1,MANUAL_QA_REQUIRED
gvs_7d9c3366c298aea6,gvc_6402dfeee7c6;gvc_c7a0b51bb92b,45 Degree Hip Extension Glute Focused | 45 Degree Hip Extension Glute Focused (version 2),45 Degree Hip Extension Glute Focused,,MANUAL,Hips,MVP_CANDIDATE,Resistance/strength candidate,Bodyweight,inferred_bodyweight,하체,source,,,unsupported,reps,bodyweight,,,2,0,2,MANUAL_QA_REQUIRED
gvs_e68f6092a6b202d8,gvc_7b062d001eb3,45 Degree Hyperextension (arms In Front Of Chest),45 Degree Hyperextension (Arms In Front Of Chest),,MANUAL,Back,MVP_CANDIDATE,Resistance/strength candidate,Bodyweight,inferred_bodyweight,등,source,,,unsupported,reps,bodyweight,,,3,1,2,MANUAL_QA_REQUIRED
gvs_bb6a387b718b9c8b,gvc_0b06a5275641,45 Degree Lean Back Alternate Knee Raise,45 Degree Lean Back Alternate Knee Raise,,MANUAL,Waist,MVP_CANDIDATE,Resistance/strength candidate,Bodyweight,inferred_bodyweight,코어,source,복직근,,name_high,reps,bodyweight,reps,,1,1,0,MANUAL_QA_REQUIRED
gvs_fbf2c11654227900,gvc_b041ca679d67,45 Degrees Reverse Hyperextension,45 Degree Reverse Hyperextension,45도 리버스 하이퍼익스텐션,AUTO_PHRASE_DRAFT,Hips,MVP_CANDIDATE,Resistance/strength candidate,Bodyweight,inferred_bodyweight,하체,source,,,unsupported,reps,bodyweight,,,1,1,0,AUTO_DRAFT_COMPLETE
gvs_51550af287b4549a,gvc_15a79c96e3af;gvc_df184f2df237,45 Degree Side Bend | 45 Degrees Side Bend,45 Degree Side Bend,,MANUAL,Waist,MVP_CANDIDATE,Resistance/strength candidate,Bodyweight,inferred_bodyweight,코어,source,복사근,코어,name_high,reps,bodyweight,,,2,1,1,MANUAL_QA_REQUIRED
gvs_d56749f322687f33,gvc_085a7509e924,45 Degrees Single Leg Reverse Hyperextension,45 Degree Single Leg Reverse Hyperextension,45도 싱글 레그 리버스 하이퍼익스텐션,AUTO_PHRASE_DRAFT,Hips,MVP_CANDIDATE,Resistance/strength candidate,Bodyweight,inferred_bodyweight,하체,source,,,unsupported,reps,bodyweight,,,1,1,0,AUTO_DRAFT_COMPLETE
gvs_cc685b714d83ac1d,gvc_dc79cb72e8c0,45 Degree Twisting Hyperextension,45 Degree Twisting Hyperextension,,MANUAL,Hips,MVP_CANDIDATE,Resistance/strength candidate,Bodyweight,inferred_bodyweight,하체,source,,,unsupported,reps,bodyweight,,,2,1,1,MANUAL_QA_REQUIRED
